planetlab-1.it.uu.se	193.10.133.128
planetlab-2.it.uu.se	193.10.133.129
planetlab1.flux.utah.edu	155.98.35.2
planetlab2.flux.utah.edu	155.98.35.3
planetlab3.flux.utah.edu	155.98.35.4
planetlab1.cs.vu.nl	130.37.198.243
planetlab2.cs.vu.nl	130.37.198.244
planetlab1.mini.pw.edu.pl	194.29.178.5
planetlab2.mini.pw.edu.pl	194.29.178.6
vn1.cs.wustl.edu	128.252.19.20
vn2.cs.wustl.edu	128.252.19.21
vn3.cs.wustl.edu	128.252.19.22
planetlab1.cs.wayne.edu	141.217.16.210
planetlab2.cs.wayne.edu	141.217.16.211
planetlab1.cs.wisc.edu	198.133.224.145
planetlab2.cs.wisc.edu	198.133.224.146
